lane,Vehicle Type,ratio,Car flow
1,SDV,0.3,399
1,SDV,0.4,591
1,SDV,0.5,811
1,SDV,0.6,1073
1,SDV,0.7,1535
1,SDV,0.8,2218
1,NSDV,0.3,931
1,NSDV,0.4,886
1,NSDV,0.5,813
1,NSDV,0.6,715
1,NSDV,0.7,658
1,NSDV,0.8,555
1,Total,0.3,1330
1,Total,0.4,1477
1,Total,0.5,1624
1,Total,0.6,1788
1,Total,0.7,2193
1,Total,0.8,2773
